Type,NHLC_WT,NHLC_1A,NHLC_1B,NHLC_2A,NHLC_2B,NHLC_3A,NHLC_3B,NHLC_4B,NHLC_4C,NHLC_5A,NHLC_5B,NHLC_6A,NHLC_6B,NHLC_7A,NHLC_7B,NHLC_8A,NHLC_8B,NHLC_9A,NHLC_9B,NHLC_10A,NHLC_10B,NHLC_11A,NHLC_11B,NHLC_13A,NHLC_13B,NHLC_14A,NHLC_14B,NHLC_15D,NHLC_16A,NHLC_16B,NHLC_17A,NHLC_17B,NHLC_18A,NHLC_18B,NHLC_19A,NHLC_19B,NHLC_20A,NHLC_20B,NHLC_21A,NHLC_21B,MUT
2LF7LR6RR5MR ,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,inv
4R5M ,4,0,0,4,2,0,0,2,1,0,0,0,0,2,2,0,0,2,3,0,0,0,0,5,1,0,0,0,3,2,0,0,1,0,39,0,0,0,0,0,del
4L5L ,1,2,0,2,1,2,2,3,2,5,10,0,0,3,9,5,2,5,3,0,0,0,0,0,2,2,0,3,2,1,1,1,1,1,0,0,0,0,0,3,del
5L5M ,8,0,0,9,9,0,0,0,1,0,0,0,0,1,4,0,0,9,16,0,0,0,0,11,5,0,0,11,6,2,0,0,0,0,0,0,0,0,0,0,wt
1L6R7L ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,67,67,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,del
2LF7LR6RR ,5,0,0,0,0,0,0,0,0,0,0,0,0,72,5,0,0,1,0,0,0,0,0,0,0,0,0,207,0,0,0,0,2,0,0,0,0,0,0,0,inv
2LF7LR ,1,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,5,0,1,0,0,0,101,0,0,0,0,2,0,0,0,0,0,0,0,inv
1L7R ,4,0,0,0,0,0,2,0,0,0,2,1,0,4,6,27,65,0,1,4,13,0,1,8,1,3,0,0,0,0,0,19,1,0,0,0,0,3,0,2,del
5M6R ,16,0,0,16,34,0,0,12,0,0,0,0,0,5,2,0,0,20,30,0,0,0,0,16,23,0,0,4,2,4,0,0,0,0,0,0,1,0,0,0,wt
4R5L5M6R ,5,0,0,9,5,0,0,3,0,0,0,2,0,44,83,0,0,12,10,0,0,0,0,9,12,1,0,61,6,2,0,0,2,0,0,0,1,0,0,0,wt
