type,NHLC_WT,NHLC_1A,NHLC_1B,NHLC_2A,NHLC_2B,NHLC_3A,NHLC_3B,NHLC_4B,NHLC_4C,NHLC_5A,NHLC_5B,NHLC_6A,NHLC_6B,NHLC_7A,NHLC_7B,NHLC_8A,NHLC_8B,NHLC_9A,NHLC_9B,NHLC_10A,NHLC_10B,NHLC_11A,NHLC_11B,NHLC_13A,NHLC_13B,NHLC_14A,NHLC_14B,NHLC_15D,NHLC_16A,NHLC_16B,NHLC_17A,NHLC_17B,NHLC_18A,NHLC_18B,NHLC_19A,NHLC_19B,NHLC_20A,NHLC_20B,NHLC_21A,NHLC_21B
p1p6del,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,93,134,2,3,0,1,0,0,0,0,2,2,0,0,0,0,0,3,0
p1p7del,4,0,0,0,0,0,2,0,0,0,2,1,0,4,6,27,65,0,1,4,13,0,1,8,1,3,0,0,0,0,0,19,1,0,0,0,0,3,0,2
p2p6del,10,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,1,0,126,126,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,418,400,175,194
p5p7del,4,0,0,0,0,0,0,0,0,409,364,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p5p6del,1,90,94,0,0,212,210,71,137,77,112,263,234,73,7,189,204,0,1,85,118,2,0,7,0,167,145,1,3,0,339,327,11,91,105,55,0,1,3,0
p1p5del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
p2p3del,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4p5del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
p2p5del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p3p4del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
p6p7del,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,352,1398,0,0,337,0,0,0,0,0,0,0
p1p4del,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,1437,0,0,0,0,0,0,0,0,0,0
p2p4del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,202,1,0,0,0,0,0,0,0
p4p7del,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,517,0,457,0,0,0,0
p2p7del,0,719,748,1,1,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,4,4,0,2,0,3,0,0,1,9,2,0,855,0,0,0,2,0,2,0
p2p7inv,9,1,1,0,0,0,1,0,0,0,1,0,0,142,13,1,1,1,0,0,0,5,2,1,0,0,0,1151,0,0,0,0,11,0,0,0,0,0,8,0
p3p7inv,10,0,1,0,0,0,0,1,0,0,0,7,1,387,13,0,0,1,0,0,1,11,4,5,1,0,0,0,0,0,0,1,17,0,1,0,2,0,0,0
p1p7inv,5,0,2,0,1,0,2,0,0,0,6,1513,1447,0,16,815,858,0,1,2,0,0,0,17,0,2,0,0,0,3,4,4,48,1,2,0,0,7,0,6
p1p3inv,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1p6inv,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1p5inv,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,283,257
p3p6inv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4p6inv,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
p2p5inv,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p4p5inv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2p6inv,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p6p7inv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p2p4inv,0,23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0
p3p5inv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,194,211
p2p3inv,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,190,182,0,0,0,0,0,0,0,204,189,1,0,286,0,0,0,226,237
wt,2143,925,1104,2475,2703,1986,2293,2731,2439,1460,1506,886,731,1523,2344,1749,1700,2595,2370,1984,2073,2523,2566,2741,2540,2363,2431,1373,1609,1199,1753,1741,879,944,1611,840,1665,1750,1298,1333
